title,sentence,sentiment_dict,sentiment_total,[u],[p],[s],[cc],[cs],annotations
perfect to grow into,the manual mode is feature rich and i can 't wait to get the hang of it .,{'manual mode': 2},2,False,False,False,False,False,manual mode[+2]
perfect to grow into,"the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject .","{'macro mode': 3, ',picture': 3}",6,False,False,False,False,False,"macro mode[+3],picture[+3]"
perfect to grow into,"the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it .",{'battery life': 3},3,False,False,False,False,False,battery life[+3]
perfect to grow into,"the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon .",{},0,False,False,False,False,False,
near perfection,i love photography .,{},0,False,False,False,False,False,
near perfection,i had an older camera that was simply a point and shoot camera .,{},0,False,False,False,False,False,
near perfection,"i needed something with more power , so i bought a nikon coolpix 4300 .",{},0,False,False,False,False,False,
near perfection,"i fell in love with this camera , it combines ease of use , with an immense amount of options and power .","{'camera': 3, ', use': 1}",4,False,False,False,False,False,"camera[+3], use[+1]"
near perfection,"you can use the scene modes , or fine tune the options , i. you can change the iso level , shutter speed , etc.",{},0,False,False,False,False,False,
near perfection,"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera .",{'camera': 2},2,False,False,False,False,False,camera[+2]
not too excited,i bought coolpix 4300 two months after i had bought canon powershot s400 .,{},0,False,False,False,False,False,
not too excited,reason for two ?,{},0,False,False,False,False,False,
not too excited,it was not easy sharing one with my teen age kid .,{},0,False,False,False,False,False,
not too excited,the two cameras are very similar in functionality and pricing .,{},0,False,False,False,False,False,
not too excited,i 've had no problem with canon whatsoever .,{},0,False,False,False,False,False,
not too excited,"with nikon , although picture qualities are as good as any other 4 mp cameras , i 've had the following headaches ;",{'picture quality': 1},1,False,False,False,False,False,picture quality[+1]
not too excited,1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable .,{'transfer': -2},-2,False,False,False,False,False,transfer[-2]
not too excited,"i did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card reader .",{},0,False,False,False,False,False,
not too excited,card reader is included .,{},0,False,False,False,False,False,
not too excited,"2 . the speed is noticeably slower than canon , especially so with flashes on .",{},0,False,False,False,False,False,
not too excited,"3 . with low battery , it twice wiped out the entire pictures in the memory chip .",{},0,False,False,False,False,False,
not too excited,i used lexar 256 mb and i still use it which means nothing is wrong with lexar .,{},0,False,False,False,False,False,
not too excited,be very careful when the battery is low and make sure to carry extra batteries .,{},0,False,False,False,False,False,
"only "" cons "" here","the other reviewers have clearly pointed all the good things about this camera , which i do agree .",{},0,False,False,False,False,False,
"only "" cons "" here","but there are certain issues might be they are to me here - all of them are minor; not major ones though ,",{},0,False,False,False,False,False,
"only "" cons "" here",. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped .,{'auto mode': -2},-2,False,False,False,False,False,auto mode[-2]
"only "" cons "" here",would be really good if they have given an option to stop this autofocussing .,{},0,False,False,False,False,False,
"only "" cons "" here",". if you want to have the date ; time on the image , its only through their software "" nikon view "" which reads the images date ; time from the images meta-data .",{},0,False,False,False,False,False,
"only "" cons "" here",so if you use your card reader ; copy images - you got to onceagain open them through their software to put the date ; time .,{},0,False,False,False,False,False,
"only "" cons "" here","in that too , there is n't a direct way to add date ; time - you got to say ' print images ' to a different directory in which there is an option to specify the date ; time .",{},0,False,False,False,False,False,
"only "" cons "" here",. even the slightest of the shakes totally distorts your image,{'image': -2},-2,False,False,False,False,False,image[-2]
"only "" cons "" here",. images taken indoor were n't so clear .,{'indoor image': -2},-2,False,False,False,False,False,indoor image[-2]
"only "" cons "" here",you got to have flash ' on ' to get it eventhough your room is well lit,{},0,False,False,False,False,False,
"only "" cons "" here",. lens cap is a really annoying,{'lens cap': -3},-3,False,False,False,False,False,lens cap[-3]
"only "" cons "" here",. go ; get a high speed like lexar 12x or higher cf card .,{},0,False,False,False,False,False,
"only "" cons "" here","else with simpler viking cf cards , it takes couple of seconds to write a picture with approximately "" fine **"" picture quality  "" image size : 1600 .",{},0,False,False,False,False,False,
"only "" cons "" here",. the movie clips taken will always have some ' noise ' in it - you can 't avoid that .,{'movie': -2},-2,False,False,False,False,False,movie[-2]
"only "" cons "" here",but overall this is a good camera with a ' really good ' picture clarity ; an exceptional close-up shooting capability .,"{'camera': 2, ', picture': 2, ', close-up shooting': 3}",7,False,False,False,False,False,"camera[+2], picture[+2], close-up shooting[+3]"
"only "" cons "" here",i would rate this is 4.5 stars picture quality ; image size defined above are specific to nikon coolpix .,{},0,False,False,False,False,False,
bad service,"within a year , there are problems with my menu dial knob .",{'menu dial knob': -2},-2,False,False,False,False,False,menu dial knob[-2]
bad service,it became stucked which makes it almost impossible to switch between modes .,{},0,False,False,False,False,False,
bad service,"i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem .",{'servicing': -2},-2,False,False,False,False,False,servicing[-2]
bad service,"worse of all , they claim that it 's some kind of internal damage and refuse to cover the cost via warranty !",{},0,False,False,False,False,False,
bad service,they would n't repair my camera unless if i pay $ 100 for parts ? and labor !,{},0,False,False,False,False,False,
bad service,"it is a good camera in terms of the function and quality , but take your chance with it because nikon absolutely sucks when it comes to customer service .","{'camera': 2, ',customer service': -2}",0,False,False,False,False,False,"camera[+2],customer service[-2]"
system error,"got a "" system error "" problem 30 days after purchase .",{'system error': -2},-2,False,False,False,False,False,system error[-2]
system error,made the camera totally inoperable .,{'camera': -2},-2,False,False,False,False,False,camera[-2]
system error,"also , the lens cap design is flawed .",{'lens cap': -2},-2,False,False,False,False,False,lens cap[-2]
system error,you have to manually take the cap off in order to use it .,{},0,False,False,False,False,False,
system error,audio on video also lacking .,{'audio': -2},-2,False,False,False,False,False,audio[-2]
system error,"otherwise , it takes very good pictures ; shutter delay is n't so bad either .","{'picture': 3, ',delay': 1}",4,False,False,False,False,False,"picture[+3],delay[+1]"
system error,"still , had to send it back to nikon for repair .",{},0,False,False,False,False,False,
amazing camera,i am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world .,{},0,False,False,False,False,False,
amazing camera,"nikon 4300 , i feel , is the best camera out there for the features and price .",{'camera': 3},3,False,False,False,False,False,camera[+3]
amazing camera,here were my requirements in a digital camera :,{},0,False,False,False,False,False,
amazing camera,"1 . i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 "" or 5x7 "" prints and i wanted some really great 8x10 "" photos once in a while .",{},0,False,False,False,False,False,
amazing camera,2 . i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that .,{},0,False,False,False,False,False,
amazing camera,i wanted a decent sized camera with a contour for my fingers to hold it steadily .,{},0,False,False,False,False,False,
amazing camera,"3 . i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography skills although , i am an amateur with an interest in photography by turning on the manual settings .",{},0,False,False,False,False,False,
amazing camera,"4 . and , of course , i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much .",{},0,False,False,False,False,False,
amazing camera,"depending on all the above requirements , i had narrowed down my search to nikon 4300 and canon powershot s400 models .",{},0,False,False,False,False,False,
amazing camera,"nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand name , good software that is included and previous reviews .",{},0,False,False,False,False,False,
amazing camera,i should say i have been very happy with my decision ever since .,{},0,False,False,False,False,False,
amazing camera,the pictures are absolutely amazing - the camera captures the minutest of details .,{'picture': 3},3,False,False,False,False,False,picture[+3]
amazing camera,a few things that might make it even better :,{},0,False,False,False,False,False,
amazing camera,1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance .,{'indoor picture': -1},-1,False,False,False,False,False,indoor picture[-1]
amazing camera,2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow .,{'delay': -2},-2,True,False,False,False,False,delay[-2][u]
amazing camera,3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture .,{'picture': -2},-2,False,False,False,False,False,picture[-2]
amazing camera,"all the above , i think , are problems with all the digital cameras out there and so i have no major complaints .",{},0,False,False,False,False,False,
amazing camera,try to buy a tripod and that should solve some of those problems .,{},0,False,False,False,False,False,
amazing camera,"whichever camera you buy , add upto about 200 dollars for an additional memory card i bought a 256 mb card , usb card reader , camera bag and the warranty .",{},0,False,False,False,False,False,
amazing camera,"and finally , get your pictures developed at a kodak picture maker machine even though it costs you a little extra - no one can beat kodak processing in terms of clarity and brightness .",{},0,False,False,False,False,False,
amazing camera,hope this review has helped you in making up your mind .,{},0,False,False,False,False,False,
amazing camera,i have taken about 150 photographs so far and have absolutely loved the experience .,{},0,False,False,False,False,False,
amazing camera,i am looking forward to my vegas trip for some great photographs now .,{},0,False,False,False,False,False,
super camera,"with our compact 35mm broken , and a vacation in europe at hand , i finally decided to enter the digital age .",{},0,False,False,False,False,False,
super camera,"i first intended to buy the 3100 , but am really happy to invest the extra money for the 4300 .",{},0,False,False,False,False,False,
super camera,"the lense is a lot better , and the 4mb produce fantastic pictures .",{},0,False,False,False,False,False,
super camera,"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset etc. , are endless .","{'auto mode': 2, ', manual mode': 2, ', scene mode': 2}",6,False,False,False,False,False,"auto mode[+2], manual mode[+2], scene mode[+2]"
super camera,the movie mode is also working great .,{'movie mode': 2},2,False,False,False,False,False,movie mode[+2]
super camera,"the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery charger , usb and video cable .",{'software': 3},3,False,False,False,False,False,software[+3]
super camera,"a 64mb flash card camera comes with a 16mb holds 52 pictures on "" normal "" resolution .",{},0,False,False,False,False,False,
super camera,"i experimented with online print ordering with the two major us brick and mortar retailers , and they both delivered great results .",{'print': 2},2,False,False,False,False,False,print[+2]
super camera,"even at the "" normal "" setting , a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a "" digital "" .",{'print': 3},3,False,False,False,False,False,print[+3]
super camera,"the battery life is ok , but can be somewhat short when working a lot with the monitor on .",{'battery life': 1},1,False,False,False,False,False,battery life[+1]
super camera,"i therefore bought a second battery as a backup , and due to the lightingfast charging with the included charger , which by the way works on 110v as well as 220v in europe , we ran never out of "" juice "" .",{},0,False,False,False,False,False,
super camera,"i highly recommend the accessory kit , which provides you with everything else you need :",{},0,False,False,False,False,False,
super camera,"a nice camera bag , which holds camera plus all the cables and the charger .",{},0,False,False,False,False,False,
super camera,"furher it contains a card reader , a flash card folder for up to 8 cards , a lense cleaning rag , and an ac adapter , which is very helpful when working in an "" outlet environment "" .",{},0,False,False,False,False,False,
super camera,"over all a fantastic very compact camera , which made us experience photography on a totally new level !",{'camera': 3},3,False,False,False,False,False,camera[+3]
camera shake,"after reading all the glowing review on this camera , i went to my local camera shop to try one .",{},0,False,False,False,False,False,
camera shake,i currently own an olympus d-550 which takes wonderful outdoor pictures .,{},0,False,False,False,False,False,
camera shake,"however , indoor pictures of subjects more than a few feet away can be blurry or grainy .",{},0,False,False,False,False,False,
camera shake,"anyway , in the store , i tried coolpix 4300 along with two other 4mp models minolta dimage s414 , and panasonic lumix .",{},0,False,False,False,False,False,
camera shake,"focusing on a display rack about 20 feet away in a brightly lit room during day time , pictures produced by this camera were blurry and in a shade of orange .",{'picture': -2},-2,False,False,False,False,False,picture[-2]
camera shake,pictures produced by the minolta were orange but not blurry .,{},0,False,False,False,False,False,
camera shake,pictures produced by the panasonic were excellent .,{},0,False,False,False,False,False,
camera shake,"the store clerk concluded that the blurriness may be caused by shaking the camera slightly when i press the button , which is understandable since this camera is lighter than the other two models .",{},0,False,False,False,False,False,
camera shake,"anyway , i ended up purchasing the lumix .",{},0,False,False,False,False,False,
camera shake,i 'm sure that this camera has all the wonderful features that others talk about .,{},0,False,False,False,False,False,
camera shake,"however , as an average person with unsteady hands , i doubt it 'll perform well in lower light settings .",{},0,False,False,False,False,False,
great camera,i purchased the nikon 4300 after several weeks of searching .,{},0,False,False,False,False,False,
great camera,"the value , name , and resolution signed the lease .",{},0,False,False,False,False,False,
great camera,after nearly 800 pictures i have found that this nikon takes incredible pictures .,{'picture': 3},3,False,False,False,False,False,picture[+3]
great camera,"the digital zoom takes as good of pictures , as the optical zoom does !","{'digital zoom': 2, ',optical zoom': 2}",4,False,False,False,False,False,"digital zoom[+2],optical zoom[+2]"
great camera,"the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective .",{'picture': -2},-2,False,False,False,False,False,picture[-2]
great camera,"i love all of the features , and presets as well .",{'feature': 3},3,False,False,False,False,False,feature[+3]
great camera,"sunset feature takes incredible pics in the morning , and the evening !",{'sunset feature': 3},3,False,False,False,False,False,sunset feature[+3]
great camera,the software you get with this camera is perfect .,{'software': 3},3,False,False,False,False,False,software[+3]
great camera,"touchups , redeye , and so on are very easy to alter , and correct .","{'touchup': 2, ', redeye': 2}",4,False,False,False,False,False,"touchup[+2], redeye[+2]"
great camera,i definately recommend a large memory card .,{},0,False,False,False,False,False,
great camera,"i use a 128mb card , and usually get around 70 to 100 pics 1024-1280 res. , with good resolution .",{},0,False,False,False,False,False,
great camera,very large pics take 8mb each !,{},0,False,False,False,False,False,
great camera,"battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have .",{'battery life': 2},2,False,False,False,False,False,battery life[+2]
great camera,"all and all , i am extremely pleased with this camera .",{'camera': 3},3,False,False,False,False,False,camera[+3]
great camera,making the step from film to digital has been a great move .,{},0,False,False,False,False,False,
great camera,i find myself emailing pics to everyone i know .,{},0,False,False,False,False,False,
great camera,"great camera , great investment !",{'camera': 3},3,False,False,False,False,False,camera[+3]
excellent camera,"this is my second digital camera , though i also use one at work and have some experience with several nikon and canon models .",{},0,False,False,False,False,False,
excellent camera,"the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size .","{'use': 1, '[u],quality': 2, ',size': 1}",4,True,False,False,False,False,"use[+1][u],quality[+2],size[+1]"
excellent camera,with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation .,{},0,False,False,False,False,False,
excellent camera,the auto setting does a great job most of the time but there are manual settings for those who want them .,{'auto setting': 2},2,False,False,False,False,False,auto setting[+2]
excellent camera,"if something were to happen to my nikon coolpix 4300 , i would order another just like it .",{},0,False,False,False,False,False,
the ricksters review,after much research i decided on the nikon coolpix 4300 .,{},0,False,False,False,False,False,
the ricksters review,it has many great features and very few bad ones .,{'camera': 2},2,False,True,False,False,False,camera[+2][p]
the ricksters review,"it takes excellent pics and is very easy to use , if you read the manual .","{'picture': 2, ',ease of use': 2}",4,False,False,False,False,False,"picture[+2],ease of use[+2]"
the ricksters review,if you cant get great pics from this camera its because you havent read the manual .,{},0,False,False,False,False,False,
the ricksters review,the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too .,{'lcd': -1},-1,False,False,False,False,False,lcd[-1]
the ricksters review,downloads are a snap and quick .,{'download': 2},2,False,False,False,False,False,download[+2]
the ricksters review,controls easy yo use and easy to get to .,{'control': 2},2,False,False,False,False,False,control[+2]
the ricksters review,i 'm extremely glad i bought this camera .,{'camera': 3},3,False,False,False,False,False,camera[+3]
super little camera,really happy with this little camera .,{'camera': 3},3,False,False,False,False,False,camera[+3]
super little camera,"it is n't big and offensive , though you would n't know it by looking at the pics it takes .",{'size': 2},2,True,False,False,False,False,size[+2][u]
super little camera,"got it for christmas , still learning a few of the settings , but i do n't take pictures every single day .",{},0,False,False,False,False,False,
super little camera,"settings for just about everything , beautiful pics and beautiful prints .","{'picture': 2, ',print': 2}",4,False,False,False,False,False,"picture[+2],print[+2]"
super little camera,"i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive .",{'zoomed image': 2},2,False,False,False,False,False,zoomed image[+2]
super little camera,"did buy a 256mb compact flash , it holds a lot of pics at any resolution .",{},0,False,False,False,False,False,
super little camera,"i only wish you could get high quality tiff images at all resolutions , but does n't seem any of the buget cameras do .",{},0,False,False,False,False,False,
super little camera,"still , at least from my perspective , a great camera for the money , and i 'm a happy camper !",{'camera': 2},2,False,False,False,False,False,camera[+2]
beginner looks experienced with coolpix,this is a wonderful camera .,{'camera': 2},2,False,False,False,False,False,camera[+2]
beginner looks experienced with coolpix,my wife and i read and read and read reviews on different cameras for months .,{},0,False,False,False,False,False,
beginner looks experienced with coolpix,in the end this is the one that we decided upon and since have never had buyer 's remorse .,{},0,False,False,False,False,False,
beginner looks experienced with coolpix,"4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price .","{'4mp': 2, ',optical zoom': 2}",4,False,False,False,False,False,"4mp[+2],optical zoom[+2]"
beginner looks experienced with coolpix,one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting .,{'picture': 2},2,False,False,False,False,False,picture[+2]
can i have a few more stars please,this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much .,{'camera': 3},3,False,False,False,False,False,camera[+3]
can i have a few more stars please,the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner .,"{'software': 3, ', online service': 2}",5,False,False,False,False,False,"software[+3], online service[+2]"
can i have a few more stars please,100 % perfect if you put some thought and time into reading the manual before you take the photos .,{},0,False,False,False,False,False,
can i have a few more stars please,i took the camera and just gave it to someone .,{},0,False,False,False,False,False,
can i have a few more stars please,no instructions .,{},0,False,False,False,False,False,
can i have a few more stars please,just point and shoot and the photos were great .,{'photo': 2},2,False,False,False,False,False,photo[+2]
can i have a few more stars please,just imagine if you place a bit of knowledge when you take your photos .,{},0,False,False,False,False,False,
can i have a few more stars please,the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla .,{'memory card': 2},2,False,False,False,False,False,memory card[+2]
can i have a few more stars please,my pda becames a digital album .,{},0,False,False,False,False,False,
can i have a few more stars please,i have a 128mb card in it and can shoot over 150 hi res photos .,{},0,False,False,False,False,False,
can i have a few more stars please,"if you have to buy a camera on a buget, this has got to be the one .",{'camera': 2},2,False,False,False,False,False,camera[+2]
can i have a few more stars please,go get it .,{},0,False,False,False,False,False,
can i have a few more stars please,before they are sold out !,{},0,False,False,False,False,False,
great camera,"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc.",{'camera': 2},2,False,False,False,False,False,camera[+2]
great camera for a great price,i bought my nikon coolpix4300 about a week ago .,{},0,False,False,False,False,False,
great camera for a great price,this is my first digital camera and i can say that i am quite impressed with the features that it has .,"{'camera': 3, ', feature': 2}",5,False,False,False,False,False,"camera[+3], feature[+2]"
great camera for a great price,it is easy enough to use for a beginner like me but it has plenty of features for me to grow into .,{'use': 2},2,True,False,False,False,False,use[+2][u]
great camera for a great price,i particularly like the way it aids me in taking my macro shots .,{'macro': 2},2,False,False,False,False,False,macro[+2]
great camera for a great price,my friends were impressed with the quality of the pictures i took !,{'picture quality': 2},2,False,False,False,False,False,picture quality[+2]
great camera for a great price,one downside though is that autofocus does not work well when battery is low .,{'autofocus': -2},-2,False,False,False,False,False,autofocus[-2]
great camera for a great price,i assume this is the case for most cameras since it does not have enough power to do autofocus .,{},0,False,False,False,False,False,
great camera for a great price,battery life is ok .,{'battery life': 1},1,False,False,False,False,False,battery life[+1]
great camera for a great price,i plan on buying a second battery and a larger cf for it .,{},0,False,False,False,False,False,
not disappointed,"great camera , and for the price you can 't beat it .",{'camera': 2},2,False,False,False,False,False,camera[+2]
not disappointed,i 've been using it for about 3 months now .,{},0,False,False,False,False,False,
not disappointed,i found the controls very intuitive and learned how to manuver through the menus quickly .,{'control': 3},3,False,False,False,False,False,control[+3]
not disappointed,the quality is superb .,{'quality': 3},3,False,False,False,False,False,quality[+3]
not disappointed,"the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person .",{'size': 2},2,False,False,False,False,False,size[+2]
field tested,"we use older versions 880 , 885 of this model in the office and i find them to produce excellent quality photos .",{},0,False,False,False,False,False,
field tested,"the 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust .",{'nikon 4300': 3},3,False,False,False,False,False,nikon 4300[+3]
field tested,it comes with a 16mb flash card that you will need to upgrade !,{},0,False,False,False,False,False,
field tested,"we got a 256mb card , and have been hard-pressed to fill it over a weekend .",{},0,False,False,False,False,False,
field tested,the only drawbacks that i have noticed :,{},0,False,False,False,False,False,
field tested,"it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot .",{'battery': -2},-2,False,False,False,False,False,battery[-2]
field tested,"so , it 's a good idea to purchase an extra battery to insure that you are not left hanging .",{},0,False,False,False,False,False,
field tested,it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light .,{'auto-focus assist light': -1},-1,False,False,False,False,False,auto-focus assist light[-1]
field tested,"i would say that this is not a major issue , but it can be slightly annoying if you care about these things .",{},0,False,False,False,False,False,
field tested,"it has a 3x optical zoom , which is average for these cameras .",{'optical zoom': -1},-1,False,False,False,False,False,optical zoom[-1]
field tested,"for more , you sacrifice weight and size : more optical zoom requires more glass and focal length .",{},0,False,False,False,False,False,
field tested,"it does have a digital zoom on top of the optical zoom , but you sacrifice quality .",{},0,False,False,False,False,False,
field tested,"i set the camera to the "" manual "" mode for one main reason :",{},0,False,False,False,False,False,
field tested,in any other mode it autofocuses continuously and burns batteries .,{},0,False,False,False,False,False,
field tested,"in manual , you can set it to "" single af "" where it will focus by depressing the shudder button prior to taking the pic ; this is not really a hinderance , you just have to be familiar with its menus and features .",{},0,False,False,False,False,False,
field tested,"in reality , these are the only drawbacks this camera has , much less than many other models !",{},0,False,False,False,False,False,
field tested,"it is easy to "" focus "" in on the drawbacks , so do n't think i hate this camera .",{},0,False,False,False,False,False,
field tested,it really is an awesome camera that is hard to beat for general-to moderate snapping .,{'camera': 3},3,False,False,False,False,False,camera[+3]
field tested,"for work , we use them in the field often , and they hold up really well .",{},0,False,False,False,False,False,
field tested,they take excellent macro shots as well .,{'macro': 2},2,False,False,False,False,False,macro[+2]
field tested,"the menus and features are easy to manipulate and access , and it takes silent movies .",{'menu': 2},2,False,False,False,False,False,menu[+2]
it do n't get better,"i compared this to a lot of other cameras , believe me , it 's value for money .",{'camera': 2},2,False,False,False,False,False,camera[+2]
it do n't get better,the picturers are amazing .,{'picture': 3},3,False,False,False,False,False,picture[+3]
it do n't get better,"do n't waste time looking at anything else , just buy this one .",{},0,False,False,False,False,False,
it do n't get better,it do n't get any better then the nikon 4300 .,{},0,False,False,False,False,False,
excellent compact digital camera,"i am a nikon fan , and owned and used slr nikon fe , n50 and n90s for many many years .",{},0,False,False,False,False,False,
excellent compact digital camera,"recently bought this coolpix 4300 along with a 256mb ultra flash card . as expected , i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models , and with added convenience of a digital camera that you can see pictures immediately .","{'picture quality': 2, ',function': 2}",4,False,False,False,False,False,"picture quality[+2],function[+2]"
excellent compact digital camera,"i particularly like the "" txt "" file which records all the control information for all the pictures you take.",{'txt file': 2},2,False,False,False,False,False,txt file[+2]
excellent compact digital camera,the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them .,{'size': 2},2,True,False,False,False,False,size[+2][u]
excellent compact digital camera,"try to buy a high capacity ultra card , as it 's 2x as faster as the regular cf card .",{},0,False,False,False,False,False,
excellent compact digital camera,"consider the time you save during picture taking especially not missing a good moment and during download , it 's well worth the little extra money .",{},0,False,False,False,False,False,
excellent compact digital camera,"an extra rechargeable en-el 1 battery is also handy , so you will seldom run into "" out of battery "" situation .",{},0,False,False,False,False,False,
excellent compact digital camera,use the rechargeable because that saves you money and helps the environment in a long run .,{},0,False,False,False,False,False,
excellent compact digital camera,"one thing puzzles me is that for "" fine and 2200 + "" quality pictures , one ultra 256mb cf card can only hold 130-140 pics , but the size of the pictures are only around 1.2 mb , the math does not add up .",{},0,False,False,False,False,False,
excellent compact digital camera,i would expecct the card to hold over 200 pictures for size of 1.2 mb/per .,{},0,False,False,False,False,False,
excellent compact digital camera,anybody can explain that ?,{},0,False,False,False,False,False,
excellent compact digital camera,"a nikon will make you happier and leave you lots of good memories , as always .",{'nikon': 3},3,False,False,False,False,False,nikon[+3]
you will not be sorry,i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate .,"{'camera': 3, ',picture': 2}",5,False,False,False,False,False,"camera[+3],picture[+2]"
you will not be sorry,we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken .,{'picture quality': 2},2,False,False,False,False,False,picture quality[+2]
you will not be sorry,i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it !,{'camera': 3},3,False,False,False,False,False,camera[+3]
absolutely great point and shoot camera,"first of all , let 's start with my needs : 1 $ 500 budget 2 4mp resolution , 3 optical clarity and color , 4 fast - very little shutter lag and quick sep-up for next picture , 5 compact size , and 6 good camera grip to minimize camera shake .",{},0,False,False,False,False,False,
absolutely great point and shoot camera,"for three months , i 've researched the internet and magazines , queried various sales personnel , and took hands-on in-store test drives .",{},0,False,False,False,False,False,
absolutely great point and shoot camera,and i finally settled on the nikon coolpix 4300 .,{},0,False,False,False,False,False,
absolutely great point and shoot camera,"i have it for a week now , and this camera has exceeded my expectations .",{'camera': 3},3,False,False,False,False,False,camera[+3]
